"Stage","FAI","Data"
"trail_1","FAI3_1","0.05594"
"trail_1","FAI3_2","0.05865"
"trail_1","FAI3_3","0.05616"
"trail_1","FAI3_4","0.05281"
"trail_1","FAI3_5","0.05324"
"trail_1","FAI3_6","0.05539"
"trail_1","FAI7","0.11373"
"trail_1","FAI44","0.01948"
"trail_1","FAI45","0.09081"
"trail_1","FAI72_T3A","0.00996"
"trail_1","FAI72_T3B","0.0039"
"trail_1","FAI72_T4A","0.00456"
"trail_1","FAI72_T4B","0.00096"
"trail_1","FAI72_T9A","0.0188"
"trail_1","FAI72_T9B","0.01819"
"trail_1","FAI73_T12","0.14412"
"trail_1","FAI73_T1","0.06164"
"trail_1","FAI73_T2A","0.10104"
"trail_1","FAI73_T2B","0.04941"
"trail_1","FAI73_T5A","0.15367"
"trail_1","FAI73_T5B","0.20456"
"trail_1","FAI73_T6","0.12257"
"trail_1","FAI73_T7A","0.1079"
"trail_1","FAI73_T7B","0.09615"
"trail_1","FAI73_T7C","0.10302"
"trail_1","FAI73_T10A","0.15225"
"trail_1","FAI73_T10B","0.11698"
"trail_1","FAI73_T11","0.12144"
"trail_1","FAI72DOE_1","3.7620000000000001E-2"
"trail_1","FAI72DOE_2","0.05052"
"trail_1","FAI72DOE_3","0.06138"
"trail_1","FAI73DOE_1","0.1464"
"trail_1","FAI73DOE_2","0.19319"
"trail_1","FAI73DOE_3","0.13513"
"trail_1","FAI73DOE_4","0.14866"
"trail_1","FAI73DOE_5","0.13743"
"trail_1","FAI73DOE_6","0.15253"
"trail_1","FAI73DOE_7","0.14685"
"trail_1","FAI73DOE_8","0.1705"
"trail_1","FAI73DOE_9","0.14227"
"trail_1","FAI73DOE_10","0.18163"
"trail_1","FAI73DOE_11","0.19326"
"trail_1","FAI73DOE_12","0.15788"
"trail_1","FAI16","40.36142"
"trail_1","FAI17","33.8657"
"trail_1","FAI19","23.09366"
"trail_1","FAI21","20.63393"
"trail_1","FAI22","12.48163"
"trail_1","FAI23","0.4655"
"trail_1","FAI24","4.53053"
"trail_1","FAI25","121.3022"
"trail_1","FAI26","115.34535"
"trail_1","FAI27","113.5537"
"trail_1","FAI28","111.05862"
"trail_1","FAI30","2.73072"
"trail_1","FAI31","0.69989"
"trail_1","FAI33","84.14321"
"trail_1","FAI34","80.51778"
"trail_1","FAI35","71.16814"
"trail_1","FAI36","62.42215"
"trail_1","FAI37","56.26759"
"trail_1","FAI38","3.84743"
"trail_1","FAI39","1.1371"
"trail_1","FAI40","42.74786"
"trail_1","FAI41","4.20397"
"trail_1","FAI42","13.90991"
"trail_1","FAI10_1","18.06753"
"trail_1","FAI10_2","18.05804"
"trail_1","FAI10_3","18.05823"
"trail_1","FAI11_1","3.01295"
"trail_1","FAI11_2","2.97453"
"trail_1","FAI11_3","2.96763"
"trail_1","FAI12","29.43771"
"trail_1","FAI13","15.04679"
"trail_1","FAI14","13.96989"
"trail_1","FAI15","43.40877"
"trail_1","FAI18","25.02043"
"trail_1","FAI20","22.22076"
"trail_1","FAI29","109.15324"
"trail_1","FAI32","85.84422"
"trail_1","FAI47","5.73397"
"trail_1","FAI48","17.64765"
"trail_1","FAI49","92.56041"
"trail_1","FAI50","115.22081"
"trail_1","FAI51","107.64363"
"trail_1","FAI52","81.41732"
"trail_1","FAI53","76.96224"
"trail_1","FAI54","68.42456"
"trail_1","FAI55_1","15.75756"
"trail_1","FAI55_2","15.7746"
"trail_1","FAI56","122.79589"
"trail_1","FAI57","116.96469"
"trail_1","FAI58","42.17475"
"trail_1","FAI59","43.41181"
"trail_1","FAI61","115.93227"
"trail_1","FAI62","109.16258"
"trail_1","FAI63","28.4493"
"trail_1","FAI64","45.16396"
"trail_1","FAI65","44.58462"
"trail_1","FAI66","41.22045"
"trail_1","FAI67","78.74169"
"trail_1","FAI68","77.03161"
"trail_1","FAI69","72.78154"
"trail_1","FAI70","44.58773"
"trail_1","FAI71","2.40062"
"trail_1","FAI43","1.02237"
"trail_1","SourceSheet","data4"
"trail_1","FAI1",NA
"trail_1","FAI2",NA
"trail_1","FAI4",NA
"trail_1","FAI5",NA
"trail_1","startTime","1899-12-31 00:52:18.9"
"trail_1","bin","17"
"trail_1","fixture1","#103"
"trail_1","fixture","#113"
"trail_1","FAI3_1","0.05415"
"trail_1","FAI3_2","0.06163"
"trail_1","FAI3_3","0.06185"
"trail_1","FAI3_4","0.06519"
"trail_1","FAI3_5","0.06853"
"trail_1","FAI3_6","0.06864"
"trail_1","FAI7","0.11961"
"trail_1","FAI44","0.02392"
"trail_1","FAI45","0.0629"
"trail_1","FAI72_T3A","0.05666"
"trail_1","FAI72_T3B","0.0871"
"trail_1","FAI72_T4A","0.06281"
"trail_1","FAI72_T4B","0.09002"
"trail_1","FAI72_T9A","0.06709"
"trail_1","FAI72_T9B","0.06597"
"trail_1","FAI73_T12","0.13616"
"trail_1","FAI73_T1","0.16226"
"trail_1","FAI73_T2A","0.16827"
"trail_1","FAI73_T2B","0.16518"
"trail_1","FAI73_T5A","0.15792"
"trail_1","FAI73_T5B","0.20562"
"trail_1","FAI73_T6","0.13409"
"trail_1","FAI73_T7A","0.1431"
"trail_1","FAI73_T7B","0.14934"
"trail_1","FAI73_T7C","0.16831"
"trail_1","FAI73_T10A","0.15896"
"trail_1","FAI73_T10B","0.16468"
"trail_1","FAI73_T11","0.14275"
"trail_1","FAI72DOE_1","0.1019"
"trail_1","FAI72DOE_2","0.09064"
"trail_1","FAI72DOE_3","0.08009"
"trail_1","FAI73DOE_1","0.14778"
"trail_1","FAI73DOE_2","0.19788"
"trail_1","FAI73DOE_3","0.15696"
"trail_1","FAI73DOE_4","0.16237"
"trail_1","FAI73DOE_5","0.1907"
"trail_1","FAI73DOE_6","0.1575"
"trail_1","FAI73DOE_7","0.14847"
"trail_1","FAI73DOE_8","0.16083"
"trail_1","FAI73DOE_9","0.15494"
"trail_1","FAI73DOE_10","0.18334"
"trail_1","FAI73DOE_11","0.20411"
"trail_1","FAI73DOE_12","0.17043"
"trail_1","FAI16","40.43095"
"trail_1","FAI17","34.01885"
"trail_1","FAI19","23.17186"
"trail_1","FAI21","20.58323"
"trail_1","FAI22","12.52886"
"trail_1","FAI23","0.41275"
"trail_1","FAI24","4.47616"
"trail_1","FAI25","121.27597"
"trail_1","FAI26","115.33469"
"trail_1","FAI27","113.54793"
"trail_1","FAI28","111.03691"
"trail_1","FAI30","2.68911"
"trail_1","FAI31","0.66974"
"trail_1","FAI33","84.1253"
"trail_1","FAI34","80.49777"
"trail_1","FAI35","71.14636"
"trail_1","FAI36","62.41434"
"trail_1","FAI37","56.26668"
"trail_1","FAI38","3.87332"
"trail_1","FAI39","1.24927"
"trail_1","FAI40","42.75472"
"trail_1","FAI41","4.22225"
"trail_1","FAI42","13.89044"
"trail_1","FAI10_1","18.0667"
"trail_1","FAI10_2","18.05606"
"trail_1","FAI10_3","18.05207"
"trail_1","FAI11_1","3.00826"
"trail_1","FAI11_2","2.97664"
"trail_1","FAI11_3","2.94563"
"trail_1","FAI12","29.44272"
"trail_1","FAI13","15.04959"
"trail_1","FAI14","13.97286"
"trail_1","FAI15","43.37762"
"trail_1","FAI18","25.02155"
"trail_1","FAI20","22.22015"
"trail_1","FAI29","109.15255"
"trail_1","FAI32","85.84918"
"trail_1","FAI47","5.7341"
"trail_1","FAI48","17.6505"
"trail_1","FAI49","92.56254"
"trail_1","FAI50","115.20596"
"trail_1","FAI51","107.64144"
"trail_1","FAI52","81.4171"
"trail_1","FAI53","76.95734"
"trail_1","FAI54","68.42177"
"trail_1","FAI55_1","15.75354"
"trail_1","FAI55_2","15.77141"
"trail_1","FAI56","122.87475"
"trail_1","FAI57","116.95573"
"trail_1","FAI58","42.15926"
"trail_1","FAI59","43.38169"
"trail_1","FAI61","115.92521"
"trail_1","FAI62","109.16313"
"trail_1","FAI63","28.48817"
"trail_1","FAI64","45.16832"
"trail_1","FAI65","44.58883"
"trail_1","FAI66","41.25758"
"trail_1","FAI67","78.72778"
"trail_1","FAI68","77.01337"
"trail_1","FAI69","72.76677"
"trail_1","FAI70","44.58911"
"trail_1","FAI71","2.39504"
"trail_1","FAI43","1.10703"
"trail_1","SourceSheet","data4"
"trail_1","FAI1",NA
"trail_1","FAI2",NA
"trail_1","FAI4",NA
"trail_1","FAI5",NA
"trail_1","startTime","1899-12-31 00:52:15"
"trail_1","bin","18"
"trail_1","fixture1","#104"
"trail_1","fixture","#114"
"trail_1","FAI3_1","0.05845"
"trail_1","FAI3_2","0.05785"
"trail_1","FAI3_3","0.05695"
"trail_1","FAI3_4","0.04814"
"trail_1","FAI3_5","0.05185"
"trail_1","FAI3_6","0.05133"
"trail_1","FAI7","0.13884"
"trail_1","FAI44","0.01786"
"trail_1","FAI45","0.05883"
"trail_1","FAI72_T3A","0.02247"
"trail_1","FAI72_T3B","0.01253"
"trail_1","FAI72_T4A","0.01407"
"trail_1","FAI72_T4B","0.0055"
"trail_1","FAI72_T9A","0.02149"
"trail_1","FAI72_T9B","0.01143"
"trail_1","FAI73_T12","0.12414"
"trail_1","FAI73_T1","0.07584"
"trail_1","FAI73_T2A","0.10792"
"trail_1","FAI73_T2B","0.06836"
"trail_1","FAI73_T5A","0.14431"
"trail_1","FAI73_T5B","0.17086"
"trail_1","FAI73_T6","0.12161"
"trail_1","FAI73_T7A","0.12506"
"trail_1","FAI73_T7B","0.09739"
"trail_1","FAI73_T7C","0.12002"
"trail_1","FAI73_T10A","0.15277"
"trail_1","FAI73_T10B","0.1036"
