category_fixture,FAI,Data
V1,FAI10_1,18.0422
V1,FAI10_1,18.0511
V1,FAI10_1,18.0246
V1,FAI10_1,18.0296
V1,FAI10_1,18.0276
V1,FAI10_1,18.0534
V1,FAI10_1,18.0405
V1,FAI10_1,18.0294
V1,FAI10_1,18.0336
V1,FAI10_1,18.0456
V1,FAI10_1,18.0097
V1,FAI10_1,18.0291
V1,FAI10_1,18.0314
V1,FAI10_1,18.048
V1,FAI10_1,18.0337
V1,FAI10_1,18.0154
V1,FAI10_1,18.0316
V1,FAI10_1,18.0374
V1,FAI10_1,18.0288
V1,FAI10_1,18.033
V1,FAI10_1,18.0321
V1,FAI10_1,18.0317
V1,FAI10_1,18.0318
V1,FAI10_1,18.0617
V1,FAI10_1,18.0517
V1,FAI10_1,18.0399
V1,FAI10_1,18.0372
V1,FAI10_1,18.0403
V1,FAI10_1,18.0253
V1,FAI10_1,18.0276
V1,FAI10_1,18.033
V1,FAI10_1,18.0685
V1,FAI10_1,18.061
V1,FAI10_1,18.0336
V1,FAI10_1,18.0273
V1,FAI10_1,18.033
V1,FAI10_1,18.0476
V1,FAI10_1,18.0179
V1,FAI10_1,18.0474
V1,FAI10_1,18.0357
V1,FAI10_1,18.0324
V1,FAI10_1,18.0277
V1,FAI10_1,18.0552
V1,FAI10_1,18.0603
V1,FAI10_1,18.0547
V1,FAI10_1,18.0467
V1,FAI10_1,18.0458
V1,FAI10_1,18.0459
V1,FAI10_1,18.0259
V1,FAI10_1,18.0363
V2,FAI10_1,18.0438
V2,FAI10_1,18.0438
V2,FAI10_1,18.0315
V2,FAI10_1,18.0338
V2,FAI10_1,18.035
V2,FAI10_1,18.0363
V2,FAI10_1,18.0457
V2,FAI10_1,18.0336
V2,FAI10_1,18.0333
V2,FAI10_1,18.0456
V2,FAI10_1,18.0451
V2,FAI10_1,18.039
V2,FAI10_1,18.0269
V2,FAI10_1,18.0373
V2,FAI10_1,18.0367
V2,FAI10_1,18.0373
V2,FAI10_1,18.0325
V2,FAI10_1,18.0366
V2,FAI10_1,18.0333
V2,FAI10_1,18.0339
V2,FAI10_1,18.0307
V2,FAI10_1,18.0322
V2,FAI10_1,18.036
V2,FAI10_1,18.0352
V2,FAI10_1,18.0299
V2,FAI10_1,18.0281
V2,FAI10_1,18.0185
V2,FAI10_1,18.0347
V2,FAI10_1,18.0335
V2,FAI10_1,18.0348
V2,FAI10_1,18.031
V2,FAI10_1,18.0367
V2,FAI10_1,18.0315
V2,FAI10_1,18.0351
V2,FAI10_1,18.0377
V2,FAI10_1,18.0344
V2,FAI10_1,18.0301
V2,FAI10_1,18.0365
V2,FAI10_1,18.0437
V2,FAI10_1,18.0329
V3,FAI10_1,18.0332
V3,FAI10_1,18.0319
V3,FAI10_1,18.0332
V3,FAI10_1,18.0343
V3,FAI10_1,18.0457
V3,FAI10_1,18.0469
V3,FAI10_1,18.0465
V3,FAI10_1,18.049
V3,FAI10_1,18.0358
V3,FAI10_1,18.0329
V1,FAI10_2,18.076
V1,FAI10_2,18.072
V1,FAI10_2,18.0527
V1,FAI10_2,18.0466
V1,FAI10_2,18.0492
V1,FAI10_2,18.0349
V1,FAI10_2,18.0425
V1,FAI10_2,18.0531
V1,FAI10_2,18.0578
V1,FAI10_2,18.0708
V1,FAI10_2,18.0623
V1,FAI10_2,18.0482
V1,FAI10_2,18.0486
V1,FAI10_2,18.0408
V1,FAI10_2,18.0434
V1,FAI10_2,18.059
V1,FAI10_2,18.0562
V1,FAI10_2,18.0586
V1,FAI10_2,18.0494
V1,FAI10_2,18.0478
V1,FAI10_2,18.0517
V1,FAI10_2,18.0496
V1,FAI10_2,18.0532
V1,FAI10_2,18.0309
V1,FAI10_2,18.045
V1,FAI10_2,18.0443
V1,FAI10_2,18.0431
V1,FAI10_2,18.0435
V1,FAI10_2,18.0518
V1,FAI10_2,18.0552
V1,FAI10_2,18.0454
V1,FAI10_2,18.0325
V1,FAI10_2,18.0281
V1,FAI10_2,18.0477
V1,FAI10_2,18.0481
V1,FAI10_2,18.0482
V1,FAI10_2,18.0445
V1,FAI10_2,18.0559
V1,FAI10_2,18.0726
V1,FAI10_2,18.0473
V1,FAI10_2,18.04
V1,FAI10_2,18.0546
V1,FAI10_2,18.0372
V1,FAI10_2,18.0345
V1,FAI10_2,18.0641
V1,FAI10_2,18.0683
V1,FAI10_2,18.0386
V1,FAI10_2,18.0723
V1,FAI10_2,18.0523
V1,FAI10_2,18.0478
V2,FAI10_2,18.0672
V2,FAI10_2,18.0662
V2,FAI10_2,18.05
V2,FAI10_2,18.0512
V2,FAI10_2,18.0519
V2,FAI10_2,18.0506
