category_rev,FAI,Data
0.06,FAI4,0.045
0.06,FAI4,0.01
0.06,FAI4,-0.01
0.06,FAI4,0.055
0.06,FAI4,0.035
0.06,FAI4,-0.636
0.06,FAI4,1.7574
0.06,FAI4,0.062
0.06,FAI4,0.0545
0.06,FAI4,0.0136
0.06,FAI4,0.0282
0.06,FAI5,0.015
0.06,FAI5,0.01
0.06,FAI5,-0.01
0.06,FAI5,0.025
0.06,FAI5,0.004999999999999999
0.06,FAI5,-1.7797
0.06,FAI5,4.6225
0.06,FAI5,0.0028
0.06,FAI5,0.0001
0.06,FAI5,-0.0139
0.06,FAI5,0.0
0.06,FAI7,0.0
0.06,FAI7,0.1
0.06,FAI7,0.0
0.06,FAI7,0.1
0.06,FAI7,0.0
0.06,FAI7,2.2982
0.06,FAI7,2.2982
0.06,FAI7,0.0638
0.06,FAI7,0.0316
0.06,FAI7,0.0425
0.06,FAI7,1.0
0.06,FAI10_1,18.0
0.06,FAI10_1,0.05
0.06,FAI10_1,-0.05
0.06,FAI10_1,18.05
0.06,FAI10_1,17.95
0.06,FAI10_1,2.5419
0.06,FAI10_1,10.0373
0.06,FAI10_1,18.041
0.06,FAI10_1,18.0351
0.06,FAI10_1,0.0373
0.06,FAI10_1,1.0
0.06,FAI10_2,18.0
0.06,FAI10_2,0.05
0.06,FAI10_2,-0.05
0.06,FAI10_2,18.05
0.06,FAI10_2,17.95
0.06,FAI10_2,1.7949
0.06,FAI10_2,5.7831
0.06,FAI10_2,18.0384
0.06,FAI10_2,18.0273
0.06,FAI10_2,0.0345
0.06,FAI10_2,1.0
0.06,FAI10_3,18.0
0.06,FAI10_3,0.05
0.06,FAI10_3,-0.05
0.06,FAI10_3,18.05
0.06,FAI10_3,17.95
0.06,FAI10_3,1.4496
0.06,FAI10_3,5.1473
0.06,FAI10_3,18.0423
0.06,FAI10_3,18.029
0.06,FAI10_3,0.0359
0.06,FAI10_3,1.0
0.06,FAI11_1,3.0
0.06,FAI11_1,0.03
0.06,FAI11_1,-0.03
0.06,FAI11_1,3.03
0.06,FAI11_1,2.97
0.06,FAI11_1,2.3323
0.06,FAI11_1,5.6626
0.06,FAI11_1,3.0197
0.06,FAI11_1,3.0131
0.06,FAI11_1,0.0176
0.06,FAI11_1,1.0
0.06,FAI11_2,3.0
0.06,FAI11_2,0.03
0.06,FAI11_2,-0.03
0.06,FAI11_2,3.03
0.06,FAI11_2,2.97
0.06,FAI11_2,1.314
0.06,FAI11_2,2.8195
0.06,FAI11_2,2.9889
0.06,FAI11_2,2.9769
0.06,FAI11_2,-0.016
0.06,FAI11_2,1.0
0.06,FAI11_3,3.0
0.06,FAI11_3,0.03
0.06,FAI11_3,-0.03
0.06,FAI11_3,3.03
0.06,FAI11_3,2.97
0.06,FAI11_3,1.8321
0.06,FAI11_3,3.5417
0.06,FAI11_3,2.9911
0.06,FAI11_3,2.9813
0.06,FAI11_3,-0.0145
0.06,FAI11_3,1.0
0.06,FAI12,29.49
0.06,FAI12,0.05
0.06,FAI12,-0.05
0.06,FAI12,29.54
0.06,FAI12,29.44
0.06,FAI12,1.2349
0.06,FAI12,3.0121
0.06,FAI12,29.4696
0.06,FAI12,29.4478
0.06,FAI12,-0.0295
0.06,FAI12,0.9999
0.06,FAI13,14.99
0.06,FAI13,0.05
0.06,FAI13,-0.05
0.06,FAI13,15.04
0.06,FAI13,14.94
0.06,FAI13,1.176
0.06,FAI13,2.4018
0.06,FAI13,15.025
0.06,FAI13,15.0003
0.06,FAI13,0.0255
0.06,FAI13,0.9998
0.06,FAI14,13.99
0.06,FAI14,0.05
0.06,FAI14,-0.05
0.06,FAI14,14.04
0.06,FAI14,13.94
0.06,FAI14,0.6167
0.06,FAI14,2.6133
0.06,FAI14,13.96
0.06,FAI14,13.9401
0.06,FAI14,-0.0382
0.06,FAI14,0.9679
0.06,FAI15,43.29
0.06,FAI15,0.05
0.06,FAI15,-0.05
0.06,FAI15,43.34
0.06,FAI15,43.24
0.06,FAI15,-2.5964
0.06,FAI15,2.9685
0.06,FAI15,43.3891
0.06,FAI15,43.3779
0.06,FAI15,0.0937
0.06,FAI15,0.0
0.06,FAI16,40.4
0.06,FAI16,0.08
0.06,FAI16,-0.08
0.06,FAI16,40.48
0.06,FAI16,40.32
0.06,FAI16,-0.2747
0.06,FAI16,1.7215
0.06,FAI16,40.5057
0.06,FAI16,40.4756
0.06,FAI16,0.0928
0.06,FAI16,0.2049
0.06,FAI17,34.02
0.06,FAI17,0.08
0.06,FAI17,-0.08
0.06,FAI17,34.1
0.06,FAI17,33.94
0.06,FAI17,0.5645
0.06,FAI17,1.0058
0.06,FAI17,34.0783
0.06,FAI17,34.0262
0.06,FAI17,0.0351
0.06,FAI17,0.9548
0.06,FAI18,24.97
0.06,FAI18,0.08
0.06,FAI18,-0.08
0.06,FAI18,25.05
0.06,FAI18,24.89
0.06,FAI18,1.0596
0.06,FAI18,5.6892
0.06,FAI18,25.0387
0.06,FAI18,25.0298
0.06,FAI18,0.0651
0.06,FAI18,0.9993
0.06,FAI19,23.2
0.06,FAI19,0.08
0.06,FAI19,-0.08
0.06,FAI19,23.28
0.06,FAI19,23.12
0.06,FAI19,0.1235
0.06,FAI19,2.0165
0.06,FAI19,23.2867
0.06,FAI19,23.2607
0.06,FAI19,0.0751
0.06,FAI19,0.6445
0.06,FAI20,22.18
0.06,FAI20,0.08
0.06,FAI20,-0.08
0.06,FAI20,22.26
0.06,FAI20,22.1
0.06,FAI20,2.3847
0.06,FAI20,6.0373
0.06,FAI20,22.231
0.06,FAI20,22.2233
0.06,FAI20,0.0484
0.06,FAI20,1.0
0.06,FAI21,20.61
0.06,FAI21,0.08
0.06,FAI21,-0.08
0.06,FAI21,20.69
0.06,FAI21,20.53
0.06,FAI21,0.655
0.06,FAI21,1.8826
0.06,FAI21,20.6781
0.06,FAI21,20.651
0.06,FAI21,0.0522
0.06,FAI21,0.9753
0.06,FAI22,12.57
0.06,FAI22,0.08
0.06,FAI22,-0.08
0.06,FAI22,12.65
0.06,FAI22,12.49
0.06,FAI22,0.2797
0.06,FAI22,1.5187
0.06,FAI22,12.6459
0.06,FAI22,12.615
0.06,FAI22,0.0653
0.06,FAI22,0.7993
0.06,FAI23,0.47
0.06,FAI23,0.08
